brand,model,year,body_type,transmission,fuel_type,kilometers,color,seats,interior,payment_option,area,city,date_posted_category,price
Renault,Logan,2015.0,Other,Automatic,Benzine,80000.0,Red,5.0,Full Leather,Cash,3rd Settlement,New Cairo,Less than a day,470000
Mercedes-Benz,E200,2025.0,Sedan,Automatic,Benzine,115500.0,Black,5.0,Full Leather,Cash,Aga,Dakahlia,This week,5300000
Hyundai,Tucson,2024.0,Hatchback,Automatic,Benzine,6500.0,Silver,5.0,Full Leather,Cash or Installment,New Cairo,Cairo,Older than a week,1925000
Nissan,Sentra,2016.0,Sedan,Automatic,Benzine,118000.0,Beige,5.0,Full Leather,Cash or Installment,Heliopolis,Cairo,This week,590000
Skoda,Kodiaq,1998.0,Sedan,Manual,Benzine,200000.0,Black,5.0,Full Leather,Cash,Al Hadrah,Alexandria,Older than a week,300000
BMW,740,2019.0,Sedan,Automatic,Benzine,23000.0,Blue- Navy Blue,5.0,Full Leather,Cash,Sheikh Zayed,Giza,Less than a day,4250000
Toyota,Corona,1987.0,Sedan,Manual,Natural Gas,70000.0,Orange,4.0,Other,Cash,Sayeda Zeinab,Cairo,This week,280000
BMW,316,1992.0,Other,Automatic,Benzine,240000.0,Burgundy,4.0,Full Leather,Cash,Shubra,Cairo,Older than a week,300000
BMW,523,1998.0,Sedan,Automatic,Benzine,500000.0,Burgundy,5.0,Full Leather,Cash,Faisal,Giza,Older than a week,360000
Kia,Rio,2011.0,Sedan,Automatic,Benzine,149000.0,Gold,5.0,Cloth,Cash,Nasr City,Cairo,This week,490000
BMW,X4,2021.0,4X4,Automatic,Benzine,25000.0,Silver,5.0,Full Leather,Cash,Dokki,Giza,Older than a week,3650000
Lada,2107,2007.0,Sedan,Manual,Benzine,90000.0,Silver,5.0,Full Leather,Cash,Ain Shams,Cairo,Older than a week,115000
Mercedes-Benz,CLA 200,2024.0,Sedan,Automatic,Benzine,115500.0,White,5.0,Full Leather,Cash or Installment,Nasr City,Cairo,Older than a week,3250000
Hyundai,Matrix,2006.0,Hatchback,Automatic,Benzine,230000.0,Silver,4.0,Full Leather,Cash,Al Ibrahimiyyah,Alexandria,This week,460000
Mitsubishi,Lancer,1999.0,Sedan,Manual,Diesel,177000.0,Green,5.0,Full Leather,Cash,Hadayek al-Ahram,Giza,This week,235000
Mercedes-Benz,GLC 300,2025.0,Sports / Coupe,Automatic,Benzine,115500.0,White,5.0,Full Leather,Cash,Damietta City,Damietta,This week,5900000
Mercedes-Benz,C200,2022.0,Sedan,Automatic,Benzine,62000.0,White,5.0,Full Leather,Cash,New Cairo,Cairo,This week,3550000
Land Rover,Evoque,2024.0,Other,Automatic,Benzine,115500.0,White,5.0,Full Leather,Cash or Installment,Sheikh Zayed,Giza,Older than a week,4500000
Chevrolet,Caprice,1988.0,Sedan,Automatic,Benzine,200000.0,Gray,5.0,Full Leather,Cash,Nasr City,Cairo,This week,300000
Volkswagen,Beetle,1975.0,Hatchback,Manual,Benzine,55000.0,Green,3.0,Velour,Cash,Manfalut,Asyut,Less than a day,28000
Mercedes-Benz,GLC 300,2025.0,SUV,Automatic,Benzine,115500.0,Blue- Navy Blue,5.0,Full Leather,Cash or Installment,New Cairo,Cairo,This week,5500000
BMW,M4,2025.0,Sports / Coupe,Automatic,Benzine,115500.0,Green,5.0,Full Leather,Cash,New Cairo,Cairo,This week,10145000
Kia,Sportage,2025.0,SUV,Automatic,Benzine,115500.0,Red,5.0,Full Leather,Cash or Installment,Heliopolis,Cairo,Older than a week,1800000
